Project,File,Key,Comment,,Comment.af,.af,Comment.da,.da,Comment.de,.de,Comment.es,.es,Comment.fi,.fi,Comment.fr,.fr,Comment.hu,.hu,Comment.it,.it,Comment.lt,.lt,Comment.lv,.lv,Comment.nl,.nl,Comment.no,.no,Comment.pl,.pl,Comment.pt,.pt,Comment.ru,.ru,Comment.sk,.sk,Comment.sr,.sr,Comment.tr,.tr,Comment.uk,.uk,Comment.zh-CHS,.zh-CHS
AgOpenGPS,Culture\gStr,gsABCurve,,AB Curve,,zAB Kurve,,AB Kurve,,A-B Kurve,,Curva AB,,Ab -käyrä,,Courbe AB,,AB görbe,,Curva AB,,AB kreivė,,AB Izliekta,,AB-Curve,,AB Kurve,,Krzywa AB,,Curva AB,,АВ кривая,,AB krivka,,AB kriva,,AB Eğrisi,,АВ крива,,AB 曲线
AgOpenGPS,Culture\gStr,gsABDraw,,Draw AB - Click 2 points on the Boundary to Begin,,,,Tegn AB - Klik 2 punkter på grænsen for at begynde,,Erstellen einer AB-Linie - Klicken Sie auf 2 Punkte auf der Grenze  um zu beginnen,,Dibujar AB - Seleccione 2 puntos en el Lindero para empezar,,Piirrä AB  Valitse kaksi pistettä reunalinjalta,,Tracer AB - Cliquez sur deux points pour commencer,,AB rajzolás - Válassz 2 pontot a határon a kezdéshez,,Traccia AB - clicca 2 punti sul confine per tracciare la linea,,Nubrėžti AB. Pažymėkite 2 taškus ant ribos  kad pradėti,,Zīmējiet AB. Lai sāktu  atzīmējiet 2 punktus uz lauka robežas,,Maak AB - Klik 2 punten om te beginnen,,Tegn AB - Klikk 2 punkter på grensen for å begynne,,Narysuj AB - Kliknij 2 punkty na granicy  aby rozpocząć.,,,,Линия АВ - Поставьте 2 точки на границе поля ,,,,Generiši AB - Klikni 2 tačke za početak,,AB çizgisinde rota oluşturmak için 2 sınır noktasına tıkla ,,,,
AgOpenGPS,Culture\gStr,gsABline,,AB Line,,zAB Line,,AB Linje,,A-B Linie,,Línea AB,,Ab -linja,,Ligne AB,,AB egyenes,,Linea AB,,AB linija,,AB Līnija,,AB-lijn,,AB Linje,,Prosta AB,,Linha AB,,Линия АВ,,AB línia,,AB linija,,AB Çizgisi,,АВ лінії,,AB 直线
AgOpenGPS,Culture\gStr,gsADConverter,,AD Converter,,,,,,AD Konverter,,Conversor AD,,AD-muunnin,,Convertisseur AD,,AD konverter,,Convertitore AD,,AD keitiklis,,AD pārveidotājs,,ADS-configuratie,,AD Konverter,,Przetwornik AD,,,,,,,,,,AD dönüştürücüsü,,,,
AgOpenGPS,Culture\gStr,gsAOGMenu,,AOG Menu,,,,,,,,Manú AOG,,AOG Valikko,,Menu AOG,,AOG Menu,,AOG Menu,,AOG Meniu,,AOG izvēlne,,,,AOG-meny,,Menu AOG,,,,Меню,,,,,,AOG Menü,,,,
AgOpenGPS,Culture\gStr,gsAPlus,,A+,,,,,,,,A+,,A+,,A+,,A+,,A+,,A+,,A+,,,,A+,,A+,,,,,,,,,,A+,,,,
AgOpenGPS,Culture\gStr,gsAbout,,About...,,zAbout...,,Om…,,Über...,,Acerca de,,Tietoja...,,À propos de...,,A programról...,,A Proposito Di…,,Apie...,,Par...,,Over...,,Om...,,O programie…,,Sobre...,,О программе,,O programe...,,O programu,,Hakkında...,,О програмі,,关于...
AgOpenGPS,Culture\gStr,gsAckermann,,Ackermann,,,,Ackermann,,Geometrieversatz,,Ackermann,,Ackermann,,Ackermann,,Akermann,,Ackermann,,Ackermann pasukimas,,Ackermann,,,,Ackermann,,,,,,,,,,,,Ackermann,,,,
AgOpenGPS,Culture\gStr,gsActionHasBeenCancelled,,Action Has Been Cancelled,,zAction Has Been Cancelled,,Handling afbrudt,,Aktion abgebrochen,,Acción anulada,,Toiminto on peruttu,,L'action a été annulé,,Művelet megszakítva,,L'Azione E' Stata Annullata,,Veiksmas atšauktas,,Darbība ir atcelta,,Actie geannuleerd,,Handlingen er avbrutt,,Czynność anulowana,,A ação foi cancelada,,Действие было отменено,,Akcia bola ukončená,,Akcija je prekinuta,,İşlem İptal Edildi,,Дія скасована,,动作已被取消
AgOpenGPS,Culture\gStr,gsActive,,Activate,,,,Aktiver,,Aktivieren,,Activar,,Aktivoi,,Activer,,Aktivál,,Attivare,,Aktyvus,,Aktivizēt,,Activeer,,Aktiver,,Aktywuj,,,,Включить,,,,Pokreni,,aktifleştir,,,,
